strain	brigg_length_estimate	group
NIC1288	11	299
NIC1289	10	300
NIC1292	8	298
NIC1295	7	208
NIC1296	5	208
NIC1302	4	301
NIC1303	6	208
NIC1304	12	302
NIC1306	6	207
NIC1308	5	303
NIC1351	6	208
NIC1356	5	208
NIC1373	5	208
NIC1394	9	297
NIC1407	14	304
NIC1413	6	300
NIC1414	6	300
NIC1416	8	300
NIC1418	9	300
NIC1421	6	305
NIC1423	10	300
NIC1424	5	208
NIC1442	3	306
NIC146	5	184
NIC1479	4	208
NIC1480	10	208
NIC1481	9	208
NIC1482	9	208
NIC1483	7	208
NIC1485	7	208
NIC149	8	184
NIC1491	4	307
NIC151	7	184
NIC1524	4	308
NIC1525	6	309
NIC1527	5	308
NIC1528	7	308
NIC1529	5	310
NIC153	7	184
NIC1530	7	308
NIC1533	2	311
NIC1535	4	312
NIC1537	7	308
NIC1539	5	313
NIC154	7	184
NIC1540	2	314
NIC155	7	184
NIC1552	6	315
NIC156	6	184
NIC1562	9	316
NIC157	8	184
NIC158	8	184
NIC1589	2	317
NIC1590	5	318
NIC1591	3	319
NIC1593	9	320
NIC1595	4	321
NIC1598	5	322
NIC160	8	184
NIC1602	5	323
NIC1607	5	324
NIC161	10	184
NIC1610	6	184
NIC162	9	184
NIC1625	2	325
NIC1626	2	325
NIC1628	4	326
NIC1629	2	4
NIC163	7	184
NIC1630	3	325
NIC1631	2	327
NIC1632	4	328
NIC1633	4	329
NIC1634	3	330
NIC1635	4	330
NIC164	8	184
NIC1645	3	331
NIC1660	5	332
NIC1661	4	333
NIC1663	3	334
NIC1664	5	335
NIC1665	2	336
NIC1666	6	337
NIC1667	2	338
NIC1668	4	338
NIC1669	4	338
NIC167	8	184
NIC1681	5	339
NIC1688	6	315
NIC169	9	184
NIC1692	3	340
NIC1693	8	341
NIC17	5	342
NIC170	9	184
NIC171	7	184
NIC173	8	184
NIC174	7	184
NIC175	8	184
NIC178	8	184
NIC179	8	184
NIC18	6	208
NIC180	6	184
NIC181	9	184
NIC182	8	184
NIC185	10	184
NIC186	4	184
NIC187	5	343
NIC188	6	344
NIC19	3	345
NIC191	8	346
NIC20	4	347
NIC208	6	184
NIC209	7	184
NIC21	4	348
NIC22	8	349
NIC23	6	208
NIC243	8	184
NIC250	4	350
NIC253	3	184
NIC28	3	208
NIC29	5	208
NIC292	7	351
NIC30	6	208
NIC301	7	208
NIC302	4	351
NIC303	6	208
NIC309	5	352
NIC317	5	208
NIC32	7	208
NIC323	5	208
NIC325	10	353
NIC327	6	354
NIC329	4	355
NIC330	11	356
NIC331	5	357
NIC332	4	358
NIC333	4	359
NIC340	5	360
NIC341	4	208
NIC343	5	361
NIC358	5	208
NIC36	7	208
NIC362	5	208
NIC367	5	208
NIC368	7	351
NIC369	8	351
NIC37	7	208
NIC373	8	351
NIC377	6	208
NIC38	7	208
NIC392	5	360
NIC398	6	184
NIC399	6	208
NIC40	6	208
NIC400	9	362
NIC419	11	351
NIC498	7	184
NIC5	5	184
NIC504	5	363
NIC505	4	364
NIC507	7	184
NIC509	8	184
NIC510	5	184
NIC518	6	365
NIC519	7	366
NIC532	4	367
NIC549	6	368
NIC552	7	369
NIC553	10	370
NIC554	11	370
NIC555	6	371
NIC556	7	371
NIC558	5	371
NIC574	3	372
NIC576	6	373
NIC578	5	373
NIC583	4	374
NIC590	14	375
NIC596	5	373
NIC599	5	373
NIC6	6	184
NIC60	7	376
NIC61	5	216
NIC62	10	377
NIC63	4	216
NIC64	10	376
NIC65	5	208
NIC66	6	208
NIC67	5	208
NIC68	4	208
NIC69	5	208
NIC70	4	208
NIC71	5	208
NIC72	7	208
NIC73	5	208
NIC74	4	208
NIC745	6	374
NIC75	5	208
NIC758	5	378
NIC76	4	208
NIC77	6	208
NIC776	6	379
NIC777	7	380
NIC778	3	381
NIC78	4	208
NIC79	6	208
NIC790	6	382
NIC791	2	383
NIC792	5	384
NIC793	2	385
NIC796	5	386
NIC80	5	208
NIC802	5	22
NIC803	7	387
NIC805	5	24
NIC806	3	24
NIC808	10	21
NIC809	8	21
NIC81	5	208
NIC810	7	25
NIC811	4	388
NIC812	7	21
NIC813	6	21
NIC815	6	21
NIC816	5	389
NIC817	3	389
NIC818	4	389
NIC819	13	390
NIC820	7	21
NIC821	7	391
NIC824	2	392
NIC825	5	393
NIC826	2	4
NIC827	4	394
NIC828	4	381
NIC829	10	391
NIC83	4	208
NIC839	9	21
NIC84	7	208
NIC850	8	21
NIC86	5	208
NIC863	3	395
NIC864	5	396
NIC865	2	397
NIC87	10	208
NIC871	5	398
NIC876	4	4
NIC877	3	4
NIC879	5	23
NIC88	8	208
NIC883	4	399
NIC884	4	4
NIC888	4	399
NIC889	4	400
NIC89	5	208
NIC893	7	401
NIC896	4	402
NIC897	3	402
NIC899	3	403
NIC900	5	404
NIC901	3	404
NIC902	4	404
NIC906	5	405
NIC911	5	406
NIC914	6	208
NIC919	3	208
NIC93	4	208
NIC95	6	208
NIC96	3	279
NIC97	7	208
NIC973	4	208
NIC974	4	208
NIC979	4	208
NIC98	3	208
NIC981	5	208
NIC984	5	407
NIC985	6	408
NIC998	6	208
PB420	4	409
PB826	6	410
PB857	4	410
PB858	5	410
PB859	5	410
PE887	3	411
QG1002	7	412
QG1005	9	413
QG1007	7	414
QG106	6	184
QG107	5	184
QG108	5	184
QG109	5	184
QG110	6	184
QG1100	6	415
QG1101	4	415
QG1102	3	415
QG1103	6	415
QG1104	8	415
QG1106	7	415
QG1107	6	415
QG1109	9	415
QG111	5	184
QG1111	7	416
QG1113	6	415
QG1114	6	415
QG112	7	184
QG1120	4	415
QG1124	9	415
QG1125	12	417
QG1126	6	415
QG1127	10	418
QG1128	6	415
QG1129	6	415
QG113	4	184
QG1130	7	415
QG1131	6	415
QG1132	4	412
QG1134	8	412
QG1139	6	412
QG114	7	184
QG1141	12	419
QG1142	7	412
QG1143	14	419
QG1144	6	412
QG1145	4	412
QG1146	4	412
QG1148	11	412
QG1149	9	412
QG115	7	184
QG1150	4	412
QG1151	4	412
QG1152	6	412
QG1153	3	412
QG1154	3	412
QG1156	3	412
QG116	6	184
QG117	7	184
QG118	7	184
QG119	7	184
QG120	7	184
QG121	7	184
QG128	7	420
QG129	7	420
QG130	7	420
QG132	9	421
QG133	2	422
QG2615	6	412
QG2616	6	412
QG2617	5	412
QG2618	6	412
QG2621	9	423
QG2622	6	423
QG2623	4	412
QG2624	6	412
QG2630	5	412
QG2631	6	412
QG2639	4	424
QG2640	8	425
QG2641	7	426
QG2647	7	412
QG2648	15	423
QG2649	7	427
QG2657	6	428
QG2659	8	425
QG2660	8	427
QG2663	7	427
QG2664	9	427
QG2665	8	412
QG2666	6	412
QG2667	11	423
QG2668	7	427
QG2669	9	423
QG2671	4	429
QG2673	8	427
QG2674	6	428
QG2677	9	423
QG2678	13	423
QG2682	9	427
QG2683	9	428
QG2684	5	430
QG2685	4	430
QG2686	7	427
QG2689	6	412
QG2690	7	412
QG2691	14	423
QG2692	7	412
QG2693	6	429
QG2694	8	427
QG2695	8	427
QG2714	5	424
QG2717	15	431
QG2718	16	431
QG2728	5	424
QG2729	5	424
QG2730	4	424
QG2731	5	424
QG2734	4	424
QG2735	6	424
QG2736	4	424
QG2737	11	417
QG2738	15	417
QG2739	12	417
QG2740	17	417
QG2741	13	417
QG2742	13	417
QG2752	5	412
QG2777	5	424
QG2778	7	431
QG2779	10	431
QG2780	7	431
QG2781	10	431
QG2784	4	424
QG2814	7	432
QG2815	7	432
QG2819	9	433
QG2820	9	433
QG2848	7	434
QG2849	9	256
QG2881	8	435
QG2882	8	436
QG2883	9	436
QG2884	9	437
QG2885	9	437
QG2886	14	438
QG2887	12	438
QG2889	3	438
QG2890	3	439
QG2891	3	439
QG2892	12	438
QG2894	10	438
QG2895	8	440
QG2900	11	438
QG2901	12	438
QG2902	11	441
QG2906	8	442
QG2908	3	443
QG2909	6	441
QG2910	4	444
QG2919	3	445
QG2920	1	445
QG2921	11	446
QG2922	5	446
QG2923	6	447
QG2925	7	235
QG2926	8	235
QG2964	5	448
QG2966	10	449
QG2967	7	415
QG2969	5	418
QG2970	7	418
QG2971	4	418
QG2972	11	450
QG2996	9	451
QG3002	4	415
QG3003	9	415
QG3004	4	452
QG3012	4	415
QG3015	9	423
QG3016	9	453
QG3017	12	453
QG3018	5	454
QG3019	6	455
QG3025	6	456
QG3030	12	457
QG3032	5	458
QG3034	10	453
QG3039	7	423
QG3041	11	459
QG3043	3	415
QG3044	7	415
QG3045	5	415
QG3046	4	415
QG3053	4	460
QG3056	9	461
QG3058	5	454
QG3527	9	462
QG3661	9	463
QG3783	6	464
QG3784	16	465
QG3787	6	465
QG3794	2	466
QG3796	7	467
QG3798	7	467
QG3801	2	468
QG3804	9	469
QG3810	5	470
QG3813	7	470
QG3815	3	471
QG3816	2	472
QG3819	9	470
QG3820	4	467
QG3822	14	467
QG3823	13	467
QG3825	6	473
QG3826	4	474
QG3827	2	475
QG3832	3	475
QG3837	8	465
QG3840	4	470
QG3841	7	470
QG3842	5	466
QG3851	3	466
QG3858	4	464
QG3861	4	476
QG3864	3	470
QG3866	5	469
QG3867	3	475
QG3874	2	477
QG3875	6	469
QG3876	2	478
QG3878	3	470
QG3879	4	470
QG3920	9	479
QG3921	8	480
QG3922	6	481
QG3923	10	481
QG3924	8	482
QG3925	8	483
QG3926	5	484
QG3927	12	485
QG3928	6	484
QG3929	11	486
QG3930	15	486
QG3931	10	486
QG3932	6	487
QG3933	13	488
QG4026	3	489
QG4027	2	490
QG4028	2	490
QG4029	3	490
QG4030	3	491
QG4031	3	491
QG4058	4	492
QG4059	4	493
QG4061	3	493
QG4062	3	493
QG4063	3	493
QG4064	4	494
QG4065	6	495
QG4066	4	494
QG4067	6	496
QG4068	6	495
QG4069	3	495
QG4070	4	497
QG4072	6	497
QG4073	8	497
QG4074	8	497
QG4075	9	497
QG4093	4	498
QG4094	5	499
QG4095	4	500
QG4096	3	501
QG4097	12	502
QG4098	3	501
QG4099	6	502
QG4100	12	502
QG4101	3	501
QG4104	4	503
QG4112	4	504
QG4113	10	502
QG4114	5	504
QG4115	4	504
QG4116	3	504
QG4117	2	504
QG4118	4	148
QG4119	3	148
QG4120	3	148
QG4121	3	148
QG4122	4	148
QG4123	4	148
QG4128	7	505
QG4129	7	505
QG4130	8	505
QG4131	4	505
QG4132	3	506
QG4133	7	505
QG4206	3	507
QG4207	3	507
QG4208	4	507
QG4209	4	500
QG4210	3	507
QG4211	4	500
QG4212	10	502
QG4213	8	502
QG4214	5	508
QG4225	5	492
QG4231	4	492
QG4232	4	509
QG4233	4	510
QG547	10	511
QG550	3	512
QG570	5	513
QG571	3	513
QG572	4	513
QG573	5	513
QG574	6	513
QG575	5	513
QG576	5	513
QG577	6	513
QG578	5	513
QG579	3	513
QG580	7	376
QG581	6	513
QG584	5	514
QG585	4	514
QG587	8	514
QG588	6	514
QG589	7	514
QG700	6	515
QG723	7	412
QG724	3	412
QG725	2	430
QG726	3	516
QG727	6	517
QG728	5	518
QG730	9	423
QG731	7	431
QG733	4	519
QG734	5	520
QG735	17	431
QG736	8	521
QG737	7	522
QG738	4	523
QG739	7	429
QG741	6	454
QG742	4	454
QG743	5	454
QG744	7	415
QG745	4	415
QG746	4	415
QG747	11	524
QG748	11	524
QG749	8	524
QG750	13	524
QG752	5	454
QG753	12	524
QG754	10	524
QG755	14	524
QG756	11	423
QG757	9	525
QG758	12	524
QG759	10	524
QG760	5	526
QG761	6	526
QG762	11	524
QG763	14	524
QG764	12	423
QG765	6	454
QG766	15	524
QG767	4	454
QG770	5	527
QG771	7	454
QG773	5	454
QG774	5	412
QG775	6	412
QG776	5	528
QG777	5	430
QG778	10	529
QG779	5	529
QG780	4	530
QG781	4	531
QG782	3	430
QG783	6	529
QG784	4	430
QG785	10	529
QG786	9	532
QG787	5	533
QG788	4	534
QG790	6	535
QG791	12	529
QG792	10	532
QG793	4	531
QG794	9	536
QG795	7	536
QG796	5	537
QG797	4	538
QG798	16	431
QG799	6	537
QG802	4	539
QG803	5	537
QG804	8	540
QG805	7	537
QG806	6	541
QG807	5	542
QG808	12	543
QG809	4	523
QG810	5	430
QG812	6	534
QG813	4	531
QG814	12	431
QG815	8	537
QG816	12	529
QG819	6	537
QG822	5	412
QG824	8	518
QG825	8	518
QG826	7	544
QG827	3	545
QG828	8	546
QG829	5	454
QG830	8	518
QG832	3	430
QG833	5	547
QG854	7	415
QG855	6	548
QG856	10	549
QG858	6	527
QG859	5	527
QG860	5	550
QG861	6	517
QG864	8	520
QG865	8	431
QG866	6	551
QG867	7	552
QG868	7	516
QG869	4	551
QG870	6	429
QG872	6	429
QG873	16	522
QG874	8	544
QG875	19	553
QG876	9	415
QG877	8	517
QG878	9	552
QG879	8	554
QG880	12	555
QG881	3	556
QG882	18	417
QG883	15	417
QG884	12	417
QG885	9	557
QG886	9	557
QG887	8	557
QG888	13	417
QG889	16	417
QG890	18	417
QG923	6	416
QG924	17	558
QG925	16	558
QG926	9	559
QG927	14	560
QG928	4	413
QG930	2	415
QG931	11	558
QG932	8	415
QG933	16	561
QG934	7	430
QG936	10	525
QG937	10	525
QG938	3	416
QG939	15	558
QG941	17	417
QG944	16	417
QG945	11	562
QG946	12	563
QG947	7	564
QG948	12	565
QG949	3	566
QG950	7	566
QG951	6	566
QG952	16	567
QG973	7	537
QG977	5	415
QG978	7	537
QG979	5	430
QG980	2	533
QG982	7	557
QG983	11	557
QG985	20	417
QG986	7	566
QG988	7	415
QG991	4	530
QG992	3	530
QG993	7	412
QG994	11	568
QG995	7	569
QG996	2	566
QG997	5	570
QG998	12	558
QR24	6	221
QR25	8	221
QX1410	6	571
QX1414	3	410
QX1545	4	410
QX1547	10	572
QX1795	10	573
QX1796	6	574
QX1797	5	98
QX1798	7	575
QX1800	6	576
QX1801	3	577
QX1802	5	578
QX1803	5	579
QX1804	5	580
TWN1772	5	581
TWN1824	3	582
TWN1899	5	69
TWN1907	6	583
TWN2919	3	584
TWN3077	5	585
UH1	6	586
VT847	4	587
VX0034	7	588
XZ1204	5	589
XZ1205	6	590
XZ1206	6	591
XZ1207	4	592
XZ1208	6	178
XZ1209	5	178
XZ1210	5	593
XZ1211	7	589
XZ1212	6	594
XZ1213	5	595
XZ1731	6	596
XZ1732	5	597
XZ1733	3	597
YR88	3	94
ZZY405	5	598
