Strain	telomere_length
BRC20103	7
QG4028	2
XZ1207	4
JU4080	4
NIC1267	5
JU2861	6
BRC20102	5
BRC20367	4
NIC1138	3
BRC20541	5
ECA2663	5
VT847	4
JU1378	5
BRC20499	4
QG4064	4
NIC984	5
NIC871	5
NIC1663	3
BRC20532	4
TWN3077	5
QG948	12
JU2457	6
QX1803	5
NIC863	3
QG927	14
QG2972	11
QG2814	7
ED3036	8
QG3931	10
BRC20081	4
NIC796	5
QG3034	10
NIC1661	4
EG6272	3
QG2996	9
NIC1632	4
NIC1220	4
JU4064	8
ECA1383	5
NIC22	8
JU1424	4
NIC327	6
ECA2667	5
ECA2664	6
BRC20244	6
QG995	7
JU1564	7
QG860	5
GUN124	11
QG4031	3
NIC1060	3
QX1796	6
QX1410	6
NIC1590	5
ECA1495	3
NIC1645	3
QG937	10
BRC20241	7
NIC793	2
NIC20	4
NIC67	5
NIC824	2
QG2659	8
BRC20238	8
NIC1106	3
QG878	9
QG4067	6
QX1798	7
QG790	6
ECA1563	6
NIC1292	8
BRC20524	6
NIC96	3
QG945	11
ECA1459	5
BRC20242	3
NIC1591	3
NIC811	4
ECA2115	5
QG4094	5
QG3825	6
QG807	5
QG865	8
QG887	8
JU3416	3
QG952	16
BRC20093	7
ECA287	3
QG997	5
ECA185	3
NIC1069	4
JU3281	8
JU2849	7
ECA346	2
NIC1633	4
NIC985	6
QG3927	12
NIC901	3
ECA2670	2
QG3932	6
QG875	19
XZ1210	5
XZ1732	5
JU1338	8
QX1547	10
NIC1103	7
EG6276	4
QG776	5
NIC578	5
QG933	16
BRC20540	5
QG806	6
NIC419	11
NIC549	6
EG6261	5
NIC1533	2
ECA175	4
ECA276	8
BRC20520	5
QG2849	9
QR25	8
BRC20246	8
NIC1308	5
EG4360	3
NIC1059	9
BRC20107	2
QG3923	10
QG809	4
BRC20069	6
ECA1609	6
NIC864	5
JU1907	7
BW287	7
BRC20347	5
NIC504	5
NIC309	5
QG874	8
NIC325	10
NIC1693	8
QG3801	2
BRC20369	9
BRC20339	2
QG4095	4
QG994	11
BRC20090	5
NIC119	6
ECA2808	4
JU1885	5
ECA2625	4
BRC20073	5
QG581	6
QG2820	9
QG763	14
JU1435	4
QG3025	6
NIC1104	10
NIC583	4
NIC329	4
BRC20536	5
QG1141	12
QG3004	4
BRC20324	4
JU1337	5
NIC61	5
MY681	5
QG2683	9
QG791	12
NIC1664	5
NIC1595	4
QG133	2
QG3926	5
QG881	3
BRC20294	8
NIC331	5
BRC20537	8
BRC20348	9
JU2767	4
JU1346	8
NIC117	4
NIC1589	2
JU2536	5
NIC1052	4
BRC20092	3
JU4058	3
NIC552	7
NIC906	5
NIC1423	10
NIC1202	7
QG986	7
BRC20232	4
ECA186	4
BRC20530	6
QG2665	8
QX1795	10
NIC333	4
QG1111	7
QG786	9
ECA1146	4
QG2848	7
NIC1123	11
NIC1540	2
QG761	6
ECA1431	4
JU1377	5
JU2053	3
BRC20498	5
JU3326	8
ECA1429	8
NIC805	5
NIC1221	4
NIC791	2
JU1341	5
NIC1055	3
QG550	3
JU3200	5
BRC20543	7
QG2922	5
JU3206	3
BRC20535	4
NIC816	5
QG4225	5
ECA182	4
QG1007	7
QX1801	3
JU3202	9
NIC330	11
NIC343	5
ECA1657	12
BRC20331	9
BRC20529	5
JU4042	1
QG1005	9
QG998	12
JU3272	5
JU1399	17
QG3878	3
JU1909	3
JU1795	6
QG4097	12
NIC590	14
QG4068	6
ECA1437	3
NIC899	3
NIC1205	5
NIC392	5
BRC20230	4
JU2872	4
TWN1907	6
QG2648	15
NIC1218	4
NIC827	4
ECA1411	10
ECA1160	6
BRC20531	3
NIC1602	5
BRC20522	5
JU3321	9
JU2056	3
ECA2618	4
XZ1731	6
NIC123	8
BRC20088	8
ECA162	5
QG797	4
NIC1442	3
QG980	2
NIC758	5
QG3925	8
JU1802	4
ECA1174	5
QG879	8
BRC20333	3
ECA1143	6
NIC1660	5
BRC20098	5
QG833	5
NIC19	3
QG2910	4
BRC20341	5
QG3876	2
NIC865	2
VX0034	7
ECA569	5
BRC20308	7
JU2472	4
ECA2083	13
JU4097	7
JU2836	6
EG6179	4
QG2902	11
NIC1407	14
QG2883	9
NIC1635	4
QG825	8
BRC20346	5
QG2884	9
UH1	6
BRC20370	9
EG5613	4
NIC1598	5
ECA1511	4
NIC1288	11
ECA1164	5
JU1348	2
ECA1621	6
NIC174	7
QG2923	6
QG3851	3
QG868	7
BRC20085	4
JU2054	4
JU2214	5
QG547	10
ECA1443	3
XZ1204	5
NIC1124	7
QG3874	2
QG3920	9
ECA1637	7
NIC1593	9
ECA1555	5
QG4131	4
QG588	6
QX1804	5
NIC893	7
NIC821	7
NIC1535	4
BRC20533	3
TWN1772	5
JU2057	5
NIC574	3
QG2966	10
ECA2623	7
ECA2373	9
NIC532	4
QG926	9
BRC20545	5
NIC332	4
NIC792	5
NIC883	4
ECA1559	3
NIC1667	2
ECA288	5
BRC20312	6
QG2925	7
QG3924	8
BRC20229	3
NIC1491	4
JU1637	2
QG788	4
NIC1692	3
BRC20501	8
NIC1630	3
BRC20519	5
QG733	4
JU3237	4
NIC1607	5
JU2470	5
BRC20390	4
JU4084	4
QG3019	6
JU1913	3
QG2641	7
ED3088	5
ECA1571	3
ECA2621	8
JU1814	6
QG3527	9
QG827	3
QG947	7
NIC815	6
NIC17	5
QG2919	3
NIC1302	4
BRC20544	4
JU2216	6
QG4070	4
NIC554	11
QG2906	8
QG3837	8
JU3319	7
ECA1149	6
QG4114	5
GXW0022	7
NIC1529	5
BRC20463	6
QG727	6
BRC20100	10
NIC188	6
NIC21	4
NIC1631	2
NIC1539	5
QG3823	13
BRC20534	5
QG795	7
EG6275	7
QG802	4
NIC819	13
NIC1050	4
NIC191	8
BRC20556	4
BRC20492	6
ECA1587	5
ECA163	8
BRC20528	3
ZZY405	5
ECA161	5
NIC1666	6
JU1794	3
QG130	7
NIC777	7
BRC20289	4
ECA183	3
JU1375	6
NIC115	7
BRC20077	10
JU4060	3
QG858	6
QG2908	3
QX1800	6
QG2736	4
XZ1212	6
ECA2299	4
JU2506	3
ECA2637	5
NIC60	7
QG2892	12
QG3815	3
QG784	4
QG3783	6
JU3327	5
QG3041	11
NIC828	4
ECA2647	3
EG6265	4
JU1638	5
QG3032	5
ECA2626	12
MY2716	4
NIC802	5
ECA177	4
NIC1628	4
ECA2093	3
QG3816	2
QG3875	6
NIC776	6
QG4063	3
QG781	4
BRC20401	7
QG880	12
EG6268	3
NIC518	6
QG3867	3
ECA176	12
JU3203	10
EG6274	5
JU4062	3
NIC519	7
ECA1423	6
ECA1471	5
QG856	10
JU1347	5
QG828	8
ECA1517	3
JU2801	6
QG3921	8
JU1908	4
QG2969	5
BRC20290	5
QG866	6
QG4104	4
ECA180	9
EG6260	6
NIC505	4
NIC1141	3
BRC20311	12
BRC20099	7
QG3861	4
QG3933	13
ECA1129	4
QG737	7
QX1802	5
MY539	6
QG3030	12
JU725	3
ECA278	4
QG4233	4
QG3056	9
XZ1205	6
NIC1525	6
QG4214	5
EG6267	6
JU2747	6
QG4093	4
JU2799	6
ECA1147	5
QG4208	4
QG855	6
ECA371	3
QG946	12
QG1126	6
NIC825	5
ECA343	3
QG2891	3
ECA1561	7
BRC20557	4
QG132	9
ECA2425	6
JU4051	3
QG808	12
TWN1899	5
ECA1706	2
JU2597	6
EG5612	4
QG3826	4
QG4232	4
NIC803	7
EG6271	5
NIC1688	6
BRC20239	3
PB420	4
JU1884	4
QG3053	4
PB857	4
BRC20095	3
NIC62	10
QG736	8
NIC250	4
BRC20334	5
NIC1190	4
BRC20503	5
NIC1562	9
PE887	3
QG4132	3
NIC1665	2
NIC1304	12
JU1799	7
ECA2666	9
QG978	7
QG2895	8
BRC20089	4
BRC20320	4
BRC20096	8
BRC20260	7
BRC20075	2
NIC790	6
JU2518	4
ECA1605	3
QG2964	5
BRC20343	7
QG4026	3
EG6329	4
QG991	4
QG2663	7
QG804	8
NIC1062	7
ECA1170	5
NIC1057	7
NIC889	4
XZ1213	5
NIC1183	8
ECA1615	5
NIC1058	3
QG700	6
ECA1611	5
TWN1824	3
QG888	13
JU3171	4
QG3661	9
NIC187	5
QG4096	3
JU3201	6
BRC20366	6
TWN2919	3
NIC897	3
QG864	8
BRC20309	9
QG739	7
QG3058	5
JU1392	6
BRC20315	8
NIC555	6
XZ1206	6
NIC1681	5
ECA2636	10
NIC1421	6
JU2868	7
ECA2639	5
NIC1528	7
JU1344	4
QG2881	8
NIC911	5
ECA2617	4
NIC400	9
ED3102	6
JU1257	3
JU2507	4
ECA2385	4
