strain	telomere_length
BRC20391	13
BRC20400	11
BRC20464	8
BRC20548	8
ECA1299	9
ECA1300	9
ECA1301	8
ECA1302	8
ECA1303	9
ECA1304	8
ECA1305	7
ECA1306	4.5
ECA1307	8
ECA1310	5
ECA1311	7
ECA1312	6
ECA1401	12
ECA1403	9
ECA1405	10
ECA1445	8
ECA1447	8
ECA1449	9
ECA1451	9
ECA1481	8
ECA1518	5
ECA1579	6
ECA1581	6
ECA1583	6
ECA1585	6
ECA1599	6
ECA2087	7
ECA788	11
ECA789	14
ECA790	11
ECA791	10
ECA792	11
ECA793	12
ECA794	11
ECA796	8
ECA797	7
ECA798	8
ECA799	8.5
ECA800	7
ECA801	8
ECA802	6
ECA803	6
ECA804	6
ECA805	4
ECA806	9
EG5889	8
EG6180	11
JU1373	11
JU1374	9
JU1428	10
JU1630	12
JU1631	13
JU1632	9
JU1633	11
JU1634	12
JU1635	14
JU1636	11
JU1639	10
JU1640	8
JU1641	10
JU1800	10
JU1818	14
JU1819	14
JU1821	6
JU1835	11
JU1838	14
JU1845	11
JU1846	8
JU1847	14
JU1848	10
JU1849	10
JU1850	12
JU1851	10
JU1870	13
JU1871	11
JU1975	8
JU1976	10
JU2505	13
JU2750	10.5
JU2752	10
JU3170	9
NIC1000	11.5
NIC1004	11
NIC1005	8
NIC1012	8
NIC1016	9
NIC1028	7
NIC1033	10
NIC1038	10
NIC105	12
NIC1112	5
NIC1116	11.3333333333333
NIC1121	10
NIC1126	10
NIC1136	9
NIC1137	11
NIC114	10
NIC1140	11
NIC1142	10
NIC1144	8
NIC1145	9
NIC1146	10
NIC1147	9
NIC1149	10.5
NIC1150	9
NIC1151	8
NIC1152	7
NIC1153	9
NIC1155	9
NIC1156	8
NIC1157	11
NIC1160	9.5
NIC1161	10.5
NIC1163	9.5
NIC1164	11
NIC1165	11
NIC1167	7.5
NIC1168	9
NIC1169	10
NIC1170	7.5
NIC1175	11
NIC1176	8
NIC1177	7
NIC1179	13
NIC1180	9.75
NIC1181	12
NIC1188	13.5
NIC1192	11
NIC1193	9
NIC122	9
NIC124	10.5
NIC125	9
NIC1252	10
NIC1254	10
NIC1257	8
NIC1268	8
NIC1270	10
NIC1272	10
NIC1275	10
NIC1276	12
NIC1277	9
NIC1278	11
NIC129	12
NIC1290	9
NIC1293	10.6666666666667
NIC1300	9
NIC1301	11
NIC1305	9
NIC1307	9
NIC1309	8
NIC1313	8.5
NIC1316	8
NIC1317	10
NIC1321	10
NIC1323	12
NIC1328	8
NIC1337	10
NIC1338	10
NIC1341	10
NIC1343	6
NIC1344	10
NIC1354	11
NIC1355	10
NIC1359	11
NIC1363	11
NIC1372	10.25
NIC1376	10
NIC1378	9
NIC1381	10.5
NIC1382	10
NIC1383	11
NIC1384	13
NIC1386	11
NIC1389	11
NIC1391	7
NIC1392	8
NIC1393	11
NIC1395	13
NIC1400	9
NIC1405	9
NIC1408	10
NIC1410	10.1666666666667
NIC1411	10
NIC1415	10
NIC1419	10.5
NIC1420	11
NIC1422	9
NIC1425	9.5
NIC1430	9
NIC1432	11.3333333333333
NIC1433	10.5
NIC1438	7.33333333333333
NIC1453	10.5
NIC1470	10.4
NIC1476	13
NIC1477	11.5
NIC1478	11
NIC1514	9
NIC1526	8
NIC1531	10
NIC1534	8
NIC1541	7
NIC1542	8
NIC1543	8
NIC1545	7
NIC1546	11
NIC1547	7
NIC1548	6
NIC1549	8
NIC1550	9
NIC1551	8
NIC1553	9
NIC1555	13
NIC1556	7
NIC1557	7.5
NIC1559	8
NIC1560	8
NIC1561	9
NIC1563	10
NIC1564	9
NIC1565	9
NIC1583	7.66666666666667
NIC1586	9
NIC1587	8
NIC1588	6
NIC1592	5
NIC1594	6
NIC1596	9
NIC1603	8
NIC1644	10
NIC1646	9
NIC1647	9
NIC1648	7
NIC1649	9
NIC1650	9
NIC1651	7
NIC1653	8
NIC1656	11
NIC1657	12
NIC1658	7
NIC1679	8
NIC1694	7
NIC1846	10.6666666666667
NIC1851	11
NIC1855	12
NIC1856	11
NIC1862	8
NIC1877	11
NIC1879	8
NIC1881	11
NIC1886	10
NIC1911	8
NIC1912	10
NIC1913	9
NIC1914	13
NIC1915	13
NIC1916	12
NIC1917	9
NIC1918	10
NIC1919	10
NIC192	11
NIC1927	10
NIC1928	11
NIC1929	14
NIC193	10
NIC1939	11.5
NIC1941	11
NIC1950	12
NIC1962	12
NIC1976	11
NIC203	15
NIC247	14
NIC249	12
NIC280	8
NIC284	14
NIC286	13
NIC291	11
NIC294	11
NIC300	13
NIC311	11
NIC312	13
NIC314	9
NIC321	14.5
NIC322	12
NIC339	9
NIC344	11
NIC350	14
NIC354	10.5
NIC359	14
NIC365	13
NIC372	14
NIC382	11
NIC384	11
NIC387	10.6666666666667
NIC389	12.5
NIC391	9
NIC393	11
NIC396	15
NIC404	11.75
NIC407	12
NIC408	11
NIC413	8
NIC416	12
NIC417	11
NIC420	10
NIC422	12
NIC424	12
NIC425	12
NIC426	10
NIC434	8
NIC436	10
NIC441	11
NIC443	6
NIC444	9
NIC445	11
NIC450	14
NIC454	11
NIC458	12
NIC459	12
NIC468	10.5
NIC475	11
NIC478	13
NIC479	11
NIC489	10
NIC491	9
NIC492	10
NIC496	18
NIC51	10
NIC517	10
NIC530	8
NIC533	9
NIC535	10
NIC540	9
NIC55	8
NIC551	10
NIC56	10
NIC567	13
NIC57	7
NIC570	11
NIC571	10.25
NIC575	10
NIC577	9.66666666666667
NIC58	14
NIC584	9
NIC585	8
NIC586	9
NIC587	11.3333333333333
NIC589	11
NIC591	11
NIC746	11.5
NIC747	10
NIC749	11.5
NIC751	14
NIC753	9.5
NIC763	10
NIC773	7
NIC775	10
NIC85	11
NIC894	7
NIC895	6
NIC898	8
NIC903	11
NIC904	12
NIC905	9
NIC907	9
NIC908	11
NIC909	13
NIC91	15
NIC917	8
NIC920	16
NIC925	10
NIC926	10
NIC927	9
NIC929	11
NIC933	8
NIC934	9
NIC936	14
NIC938	8
NIC939	7
NIC94	14
NIC940	9
NIC941	7
NIC942	9
NIC944	10
NIC945	10
NIC947	11
NIC948	10
NIC952	10
NIC953	10.5
NIC955	8
NIC956	11
NIC957	8
NIC958	10
NIC959	10
NIC961	7
NIC962	8
NIC964	9
NIC965	9
NIC970	11
NIC972	9
NIC975	10.3333333333333
NIC980	9
NIC983	8
NIC987	11
NIC989	9
NIC99	10
NIC993	8
NIC994	9
NIC999	13
QG1000	11
QG1004	12.5
QG131	7
QG2716	13
QG2724	10.5
QG2726	10.3333333333333
QG2770	13
QG2896	8
QG2897	9
QG2898	10
QG2899	10
QG2904	10
QG2905	9
QG3008	8
QG3009	9
QG3010	8
QG3011	8
QG3013	9
QG3024	9
QG3037	7.5
QG3038	6
QG3055	10
QG3064	6
QG3514	10
QG3521	15
QG3522	14
QG3526	11
QG3539	8
QG3543	10
QG3545	8
QG3546	11
QG3547	7
QG3785	11
QG3786	8
QG3789	8
QG3790	8
QG3793	8.66666666666667
QG3795	8
QG3797	7
QG3799	8
QG3800	8
QG3805	10
QG3807	7
QG3808	7
QG3809	8
QG3811	7
QG3817	9
QG3818	7
QG3821	8
QG3824	9
QG3828	8
QG3829	18
QG3831	11.3333333333333
QG3834	8
QG3839	10.5
QG3843	10
QG3845	11
QG3847	7
QG3848	9
QG3849	13
QG3850	12
QG3852	11
QG3856	9.5
QG3862	9
QG3863	6
QG3868	9
QG3871	10
QG3872	10
QG3873	11.5
QG3877	14
QG3880	8
QG800	8.5
QG823	7.5
QG834	9
QG836	9
QG840	6
QG841	8.66666666666667
QG845	9.33333333333333
QG846	9.5
QG848	7
QG850	8.5
QG852	9
QG853	8
QG935	10
QG942	9
QG981	9
QG987	7
TWN2103	6
